name_rep	at_id
AP2EREBP_tnt.ERF5_colamp_a	AT5G47230
AP2EREBP_tnt.ERF6_col	AT4G17490
AP2EREBP_tnt.ERF73_col_a	AT1G72360
AP2EREBP_tnt.ERF73_colamp_a	AT1G72360
AP2EREBP_tnt.ERF7_col_a	AT3G20310
AP2EREBP_tnt.ERF7_colamp_a	AT3G20310
AP2EREBP_tnt.ERF8_col_a	AT1G53170
AP2EREBP_tnt.ERF8_colamp_a	AT1G53170
AP2EREBP_tnt.ERF9_col_a	AT5G44210
AP2EREBP_tnt.ERF9_colamp_a	AT5G44210
AP2EREBP_tnt.ESE1_col_a	AT3G23220
AP2EREBP_tnt.ESE1_colamp_a	AT3G23220
AP2EREBP_tnt.ESE3_col_a	AT5G25190
AP2EREBP_tnt.ESE3_colamp_a	AT5G25190
AP2EREBP_tnt.LEP_col_a	AT5G13910
AP2EREBP_tnt.PLT1_col_a	AT3G20840
AP2EREBP_tnt.PLT1_colamp_a	AT3G20840
AP2EREBP_tnt.PLT3_col_a	AT5G10510
AP2EREBP_tnt.PUCHI_col_a	AT5G18560
AP2EREBP_tnt.PUCHI_colamp_a	AT5G18560
AP2EREBP_tnt.RAP211_col_a	AT5G19790
AP2EREBP_tnt.RAP211_colamp_a	AT5G19790
AP2EREBP_tnt.RAP212_col_a	AT1G53910
AP2EREBP_tnt.RAP21_col_a	AT1G46768
AP2EREBP_tnt.RAP21_colamp_a	AT1G46768
AP2EREBP_tnt.RAP26_col_a	AT1G43160
AP2EREBP_tnt.RAP26_colamp_a	AT1G43160
AP2EREBP_tnt.RRTF1_col_a	AT4G34410
AP2EREBP_tnt.RRTF1_colamp_a	AT4G34410
AP2EREBP_tnt.Rap210_col_a	AT5G52020
AP2EREBP_tnt.Rap210_colamp_a	AT5G52020
AP2EREBP_tnt.SHN3_col_a	AT5G11190
AP2EREBP_tnt.TINY_col_a	AT5G25810
ARF_ecoli.MP_col	AT1G19850
ARF_tnt.ARF16_col_b	AT4G30080
ARF_tnt.ARF2_col_v31	AT5G62000
ARID_tnt.AT1G04880_col_a	AT1G04880
ARID_tnt.AT1G04880_colamp_a	AT1G04880
ARID_tnt.AT1G20910_col_a	AT1G20910
ARID_tnt.AT2G17410_col_a	AT2G17410
ARID_tnt.At1g76110_col_a	AT1G76110
ARID_tnt.At1g76110_colamp_a	AT1G76110
ARID_tnt.At3g13350_col_a	AT3G13350
BBRBPC_tnt.BPC1_col_a	AT2G01930
BBRBPC_tnt.BPC1_colamp_a	AT2G01930
BBRBPC_tnt.BPC5_col_a	AT4G38910
BBRBPC_tnt.BPC5_colamp_a	AT4G38910
BBRBPC_tnt.BPC6_col_a	AT5G42520
BES1_tnt.BAM8_col_a	AT5G45300
BES1_tnt.BAM8_colamp_a	AT5G45300
BSD_tnt.AT1G10720_col_a	AT1G10720
BZR_tnt.At1g78700_col_a	AT1G78700
BZR_tnt.At1g78700_colamp_a	AT1G78700
BZR_tnt.At4g18890_col_a	AT4G18890
BZR_tnt.At4g18890_colamp_a	AT4G18890
BZR_tnt.At4g36780_col_a	AT4G36780
BZR_tnt.At4g36780_colamp_a	AT4G36780
BZR_tnt.BZR1_col_a	AT1G75080
C2C2COlike_tnt.AT4G27900_col_a	AT4G27900
C2C2COlike_tnt.AT5G59990_col_a	AT5G59990
