name,condition,mean_luminescence,standard_error,date
25+72,100mM nitrate_2hrs_morning,2.7902614613889885,2.1930776822766345,24.11.19
25+72,100mM nitrate_overnight,1.590473633507677,0.1721890417846419,24.11.19
25+72,nitrate_free,0.5501670979660201,0.22278101343598314,24.11.19
35+72,100mM nitrate_2hrs_morning,52.73930645148476,11.566316184478007,24.11.19
35+72,100mM nitrate_overnight,34.32480762410503,5.5071989674385815,24.11.19
35+72,nitrate_free,39.05998901955427,4.871612420830971,24.11.19
36+72,100mM nitrate_2hrs_morning,7.455392358585008,6.533360197652212,24.11.19
36+72,100mM nitrate_overnight,14.478988229834142,8.06107415870053,24.11.19
36+72,nitrate_free,2.7434489212053896,0.7565588903092427,24.11.19
71 + 72,100mM nitrate_2hrs_morning,81.67156918317384,7.3483064496645,24.11.19
71 + 72,100mM nitrate_overnight,36.25673381253096,5.234907190903228,24.11.19
71 + 72,nitrate_free,68.78439979885131,24.850146224174775,24.11.19
92+72,100mM nitrate_2hrs_morning,1.129761648950466,0.5894755076175434,24.11.19
92+72,100mM nitrate_overnight,1.9496573311629863,0.16394878751593406,24.11.19
92+72,nitrate_free,0.7693482135354416,0.20774078025060924,24.11.19
