Module3ID,Vol_nL_x,Module4ID,Vol_nL_y
pEPSW1KN0115,248.7427858,pEPSW1KN0119,257.4072996
pEPSW1KN0116,248.3125751,pEPSW1KN0119,257.4072996
pEPSW1KN0117,299.5691407,pEPSW1KN0119,257.4072996
pEPSW1KN0118,259.400481,pEPSW1KN0120,223.964506
pEPSW1KN0125,237.76750189999998,pEPSW1KN0120,223.964506
pEPSW1KN0125,237.76750189999998,pEPSW1KN0121,295.7345211
pEPSW1KN0125,237.76750189999998,pEPSW1KN0122,244.7149972
pEPSW1KN0123,205.86592180000002,pEPSW1KN0126,241.62614059999999
pEPSW1KN0124,227.79723880000003,pEPSW1KN0126,241.62614059999999
pEPSW1KN0124,227.79723880000003,pEPSW1KN0127,203.7168419
pEPSW1KN0128,263.5499982,pEPSW1KN0127,203.7168419
pEPSW1KN0129,260.9834982,pEPSW1KN0137,260.6112755
pEPSW1KN0130,256.2260259,pEPSW1KN0137,260.6112755
pEPSW1KN0131,287.52747180000006,pEPSW1KN0137,260.6112755
pEPSW1KN0144,217.5881276,pEPSW1KN0137,260.6112755
pEPSW1KN0132,536.0,pEPSW1KN0139,213.3812082
pEPSW1KN0133,160.4626686,pEPSW1KN0139,213.3812082
pEPSW1KN0134,216.4633549,pEPSW1KN0140,215.7894223
pEPSW1KN0135,149.6853252,pEPSW1KN0140,215.7894223
pEPSW1KN0135,149.6853252,pEPSW1KN0141,139.29051090000002
pEPSW1KN0136,241.6842473,pEPSW1KN0142,327.2210629
pEPSW1KN0136,241.6842473,pEPSW1KN0143,224.74080099999998
pEPSW1KN0144,217.5881276,pEPSW1KN0138,175.9047839
pEPSW1KN0145,243.20489269999996,pEPSW1KN0149,191.8737851
pEPSW1KN0146,200.106796,pEPSW1KN0149,191.8737851
pEPSW1KN0156,238.98310580000003,pEPSW1KN0149,191.8737851
pEPSW1KN0147,309.8200773,pEPSW1KN0151,215.28095580000002
pEPSW1KN0158,513.0644637,pEPSW1KN0151,215.28095580000002
pEPSW1KN0148,248.89679390000003,pEPSW1KN0153,461.57700260000007
pEPSW1KN0161,206.67028100000002,pEPSW1KN0153,461.57700260000007
pEPSW1KN0156,238.98310580000003,pEPSW1KN0150,404.94505489999995
pEPSW1KN0157,242.6470588,pEPSW1KN0150,404.94505489999995
pEPSW1KN0158,513.0644637,pEPSW1KN0163,253.4155511
pEPSW1KN0158,513.0644637,pEPSW1KN0164,237.2343051
pEPSW1KN0158,513.0644637,pEPSW1KN0165,259.2666424
pEPSW1KN0152,209.3611219,pEPSW1KN0159,258.99937919999996
pEPSW1KN0152,209.3611219,pEPSW1KN0160,271.5248867
pEPSW1KN0161,206.67028100000002,pEPSW1KN0154,230.06565869999997
pEPSW1KN0155,241.6842473,pEPSW1KN0162,254.31331949999998
pEPSW1KN0167,585.2147905,pEPSW1KN0162,254.31331949999998
pEPSW1KN0166,372.8687792,pEPSW1KN0168,295.2566636
pEPSW1KN0166,372.8687792,pEPSW1KN0169,292.08169300000003
pEPSW1KN0166,372.8687792,pEPSW1KN0170,186.2208372
pEPSW1KN0166,372.8687792,pEPSW1KN0171,143.2702398
pEPSW1KN0166,372.8687792,pEPSW1KN0172,243.2637613
pEPSW1KN0173,427.6016787,pEPSW1KN0172,243.2637613
pEPSW1KN0174,179.19810669999998,pEPSW1KN0172,243.2637613
pEPSW1KN0175,267.7274048,pEPSW1KN0180,229.9866855
pEPSW1KN0176,536.0,pEPSW1KN0182,526.0903705000001
pEPSW1KN0177,258.6327906,pEPSW1KN0182,526.0903705000001
pEPSW1KN0178,175.9459085,pEPSW1KN0182,526.0903705000001
pEPSW1KN0179,225.49719530000002,pEPSW1KN0188,396.869559
pEPSW1KN0181,242.9990768,pEPSW1KN0188,396.869559
pEPSW1KN0183,309.96341,pEPSW1KN0189,271.4882122
pEPSW1KN0184,250.47863959999998,pEPSW1KN0189,271.4882122
pEPSW1KN0185,536.0,pEPSW1KN0189,271.4882122
