AGI code,transcription (iTAK)_class,transcription (iTAK)_family,RNA_cv
AT1G79940,,,0.18111873391755343
AT2G32170,,,0.19291155365007576
AT3G50860,,,0.2097120158584752
AT3G49850,TF,MYB-related,0.21163910642419412
AT5G25760,,,0.2131568527135235
AT1G54080,,,0.21474106678616522
AT1G76320,TF,FAR1,0.2151899131638205
AT3G16090,,,0.21647332957955207
AT2G27900,,,0.2180080972093389
AT2G28390,,,0.2195916164047108
AT5G64813,,,0.22282700808182027
AT1G52730,,,0.22431953025091544
AT3G55480,,,0.22494591442551842
AT4G39560,,,0.2304546183261178
AT3G60480,,,0.23055538429936515
AT1G78920,,,0.23075665370471019
AT5G64470,,,0.23115231705201303
AT3G01560,,,0.23171210252359076
AT4G14160,,,0.23313800590072586
AT4G26310,,,0.23385490081743227
AT3G01150,,,0.23482702449673828
AT3G55140,,,0.23545703946479435
AT1G64990,,,0.23606497596777662
AT2G23370,,,0.23628585537476965
AT5G10960,,,0.23871730110086178
AT5G63870,,,0.2397107611151876
AT3G51310,,,0.2398972585889943
AT5G19130,,,0.2420563654553366
AT1G76850,,,0.24242880937754732
AT2G18030,,,0.24421329760881927
AT1G20770,,,0.2442722433177668
AT4G15010,,,0.24459086401887647
AT2G18245,,,0.2449704088105986
AT3G52210,,,0.24610990110950406
AT5G64010,,,0.24667598705815427
AT4G34450,,,0.24770287696338836
AT3G47390,,,0.2477490493295938
AT3G27325,,,0.24870112913251677
AT2G45810,,,0.250294866894791
AT3G20320,,,0.2504282180966393
AT5G43670,,,0.2510706708800951
AT1G32150,TF,bZIP,0.25147858115109156
AT5G42660,,,0.25212349458750505
AT3G59360,,,0.25362954516553876
AT1G03150,TR,GNAT,0.25457051950994125
AT2G31710,,,0.2548627695987444
AT5G63840,,,0.25521156497643643
AT1G26170,,,0.2556499902470546
AT1G25420,,,0.2561519371254759
AT5G65960,,,0.25637985094507443
AT5G35080,,,0.2567113636587135
AT2G20000,,,0.25671485730233884
AT2G22120,,,0.2569822916085615
AT4G19350,,,0.25764897667286957
AT3G05280,,,0.2583084320256412
AT3G06580,,,0.2595807030859729
